State,Agency Type,Agency Name,Population1,Total Offenses
COLORADO,Cities,Basalt,"4,219",65
COLORADO,Cities,Bayfield,"2,738",64
COLORADO,Cities,Black Hawk,128,447
COLORADO,Cities,Boulder,"108,380","6,783"
COLORADO,Cities,Bow Mar,982,13
COLORADO,Cities,Brighton,"41,613","2,538"
COLORADO,Cities,Broomfield,"70,307","3,555"
COLORADO,Cities,Brush,"5,347",224
COLORADO,Cities,Buena Vista,"2,842",106
COLORADO,Cities,Burlington,"3,057",177
COLORADO,Cities,Calhan,835,26
COLORADO,Cities,Canon City,"16,557","1,862"
COLORADO,Cities,Carbondale,"6,882",181
COLORADO,Cities,Castle Rock,"64,526","2,422"
COLORADO,Cities,Centennial,"111,646","3,976"
COLORADO,Cities,Center,"2,282",111
COLORADO,Cities,Cherry Hills Village,"6,740",51
COLORADO,Cities,Colorado Springs,"471,124","32,616"
COLORADO,Cities,Columbine Valley,"1,469",15
COLORADO,Cities,Commerce City,"57,474","4,240"
COLORADO,Cities,Cortez,"8,738",509
COLORADO,Cities,Craig,"8,848",801
COLORADO,Cities,Crested Butte,"1,668",83
COLORADO,Cities,Cripple Creek,"1,206",215
COLORADO,Cities,Dacono,"5,774",144
COLORADO,Cities,Del Norte,"1,563",54
COLORADO,Cities,Delta,"8,819",838
COLORADO,Cities,Denver,"720,745","53,416"
COLORADO,Cities,Dillon,971,95
COLORADO,Cities,Durango,"18,717","1,455"
COLORADO,Cities,Eagle,"6,921",254
COLORADO,Cities,Eaton,"5,355",119
COLORADO,Cities,Edgewater,"5,328",612
COLORADO,Cities,Elizabeth,"1,416",44
COLORADO,Cities,Englewood,"35,029","4,051"
COLORADO,Cities,Erie,"25,233",638
COLORADO,Cities,Estes Park,"6,399",169
COLORADO,Cities,Evans,"20,744","1,316"
COLORADO,Cities,Federal Heights,"12,929","1,163"
COLORADO,Cities,Firestone,"14,419",250
COLORADO,Cities,Florence,"3,919",97
COLORADO,Cities,Fort Collins,"168,163","8,881"
COLORADO,Cities,Fort Lupton,"8,273",213
COLORADO,Cities,Fort Morgan,"11,267",859
COLORADO,Cities,Fountain,"30,367","1,645"
COLORADO,Cities,Fraser/Winter Park,"2,320",209
COLORADO,Cities,Frederick2,"13,390",
COLORADO,Cities,Frisco,"3,196",184
COLORADO,Cities,Fruita,"13,390",479
COLORADO,Cities,Glendale,"5,293","1,491"
COLORADO,Cities,Glenwood Springs,"10,022","1,007"
COLORADO,Cities,Golden,"20,768","1,147"
COLORADO,Cities,Granby,"2,110",52
COLORADO,Cities,Grand Junction,"62,974","6,427"
COLORADO,Cities,Greeley,"107,325","7,175"
COLORADO,Cities,Green Mountain Falls,699,13
COLORADO,Cities,Greenwood Village,"15,989","1,736"
COLORADO,Cities,Gunnison,"6,627",447
COLORADO,Cities,Haxtun,909,15
COLORADO,Cities,Hayden,"1,952",55
COLORADO,Cities,Holyoke,"2,199",53
COLORADO,Cities,Hotchkiss,922,79
COLORADO,Cities,Hugo,746,15
COLORADO,Cities,Idaho Springs,"1,792",275
COLORADO,Cities,Ignacio,733,26
COLORADO,Cities,Johnstown,"16,490",461
COLORADO,Cities,Lafayette,"28,914","1,658"
COLORADO,Cities,La Junta,"6,867",690
COLORADO,Cities,Lakeside,8,207
COLORADO,Cities,La Salle,"2,385",59
COLORADO,Cities,Leadville,"2,785",75
COLORADO,Cities,Limon,"1,937",29
COLORADO,Cities,Littleton,"48,632","2,698"
COLORADO,Cities,Log Lane Village,867,41
COLORADO,Cities,Lone Tree,"13,933","1,765"
COLORADO,Cities,Longmont,"95,534","5,880"
COLORADO,Cities,Louisville2,"21,545",
COLORADO,Cities,Loveland,"78,192","4,580"
COLORADO,Cities,Manitou Springs,"5,365",102
COLORADO,Cities,Meeker,"2,274",74
COLORADO,Cities,Milliken,"7,238",86
COLORADO,Cities,Monte Vista,"4,136",459
COLORADO,Cities,Montrose,"19,335","2,020"
COLORADO,Cities,Mountain View,541,55
COLORADO,Cities,Mountain Village,"1,405",27
COLORADO,Cities,Mount Crested Butte,849,34
COLORADO,Cities,Nederland,"1,554",91
COLORADO,Cities,New Castle,"4,863",116
COLORADO,Cities,Northglenn,"39,383","2,749"
COLORADO,Cities,Oak Creek,933,63
COLORADO,Cities,Olathe,"1,809",27
COLORADO,Cities,Ouray,"1,015",33
COLORADO,Cities,Pagosa Springs,"1,974",139
COLORADO,Cities,Palisade,"2,693",114
COLORADO,Cities,Parachute,"1,120",155
COLORADO,Cities,Parker,"55,573","2,137"
COLORADO,Cities,Platteville,"3,887",108
COLORADO,Cities,Pueblo,"111,756","12,101"
COLORADO,Cities,Rangely,"2,323",20
COLORADO,Cities,Rifle,"9,711",659
COLORADO,Cities,Salida,"5,951",248
COLORADO,Cities,Severance,"4,454",98
COLORADO,Cities,Sheridan,"6,159","1,010"
COLORADO,Cities,Silt,"3,160",75
COLORADO,Cities,Silverthorne,"4,775",266
COLORADO,Cities,Springfield,"1,358",36
COLORADO,Cities,Steamboat Springs,"13,100",867
COLORADO,Cities,Sterling,"13,928","1,305"
COLORADO,Cities,Telluride,"2,456",100
COLORADO,Cities,Thornton,"139,697","10,041"
COLORADO,Cities,Timnath,"4,174",185
COLORADO,Cities,Trinidad,"7,947",748
COLORADO,Cities,Vail,"5,511",534
COLORADO,Cities,Walsh,509,3
COLORADO,Cities,Westminster,"113,751","7,283"
COLORADO,Cities,Wheat Ridge,"31,452","1,780"
COLORADO,Cities,Windsor,"26,441",392
COLORADO,Cities,Woodland Park,"7,709",392
COLORADO,Cities,Wray,"2,368",13
COLORADO,Cities,Yuma,"3,509",29
COLORADO,Universities and Colleges,Adams State University,"4,343",70
COLORADO,Universities and Colleges,Aims Community College,"7,966",8
COLORADO,Universities and Colleges,Auraria Higher Education Center3,,262
COLORADO,Universities and Colleges,Colorado School of Mines,"6,910",84
COLORADO,Universities and Colleges,"Colorado State University, Fort Collins","36,966",929
COLORADO,Universities and Colleges,Fort Lewis College,"3,936",77
COLORADO,Universities and Colleges,Pikes Peak Community College,"18,666",28
COLORADO,Universities and Colleges,Red Rocks Community College,"13,644",19
COLORADO,Universities and Colleges,University of Colorado: ,,
COLORADO,Universities and Colleges,Boulder,"37,921","1,888"
COLORADO,Universities and Colleges,Colorado Springs,"16,743",164
COLORADO,Universities and Colleges,Denver,"31,281",180
COLORADO,Universities and Colleges,University of Northern Colorado,"15,365",157
COLORADO,Metropolitan Counties,Arapahoe,,"4,391"
COLORADO,Metropolitan Counties,Boulder,,"2,178"
COLORADO,Metropolitan Counties,Clear Creek,,195
COLORADO,Metropolitan Counties,Douglas,,"6,724"
COLORADO,Metropolitan Counties,Elbert,,120
COLORADO,Metropolitan Counties,El Paso,,"7,009"
COLORADO,Metropolitan Counties,Gilpin,,565
COLORADO,Metropolitan Counties,Larimer,,"3,187"
COLORADO,Metropolitan Counties,Mesa,,"3,314"
COLORADO,Metropolitan Counties,Pueblo,,"2,060"
COLORADO,Metropolitan Counties,Teller,,379
COLORADO,Metropolitan Counties,Weld,,"2,392"
COLORADO,Nonmetropolitan Counties,Archuleta,,307
COLORADO,Nonmetropolitan Counties,Baca,,15
COLORADO,Nonmetropolitan Counties,Bent,,357
COLORADO,Nonmetropolitan Counties,Chaffee,,166
COLORADO,Nonmetropolitan Counties,Cheyenne,,2
COLORADO,Nonmetropolitan Counties,Conejos,,79
COLORADO,Nonmetropolitan Counties,Crowley,,125
COLORADO,Nonmetropolitan Counties,Custer,,251
COLORADO,Nonmetropolitan Counties,Delta,,461
COLORADO,Nonmetropolitan Counties,Dolores,,49
COLORADO,Nonmetropolitan Counties,Fremont,,626
COLORADO,Nonmetropolitan Counties,Garfield,,822
COLORADO,Nonmetropolitan Counties,Grand,,102
COLORADO,Nonmetropolitan Counties,Gunnison,,79
COLORADO,Nonmetropolitan Counties,Hinsdale,,7
COLORADO,Nonmetropolitan Counties,Huerfano,,284
COLORADO,Nonmetropolitan Counties,Jackson,,9
COLORADO,Nonmetropolitan Counties,Kit Carson,,100
COLORADO,Nonmetropolitan Counties,Lake,,112
COLORADO,Nonmetropolitan Counties,La Plata,,693
COLORADO,Nonmetropolitan Counties,Logan,,408
COLORADO,Nonmetropolitan Counties,Mineral,,2
COLORADO,Nonmetropolitan Counties,Moffat,,91
COLORADO,Nonmetropolitan Counties,Montezuma,,411
COLORADO,Nonmetropolitan Counties,Montrose,,591
COLORADO,Nonmetropolitan Counties,Morgan,,269
COLORADO,Nonmetropolitan Counties,Otero,,135
COLORADO,Nonmetropolitan Counties,Pitkin,,62
COLORADO,Nonmetropolitan Counties,Prowers,,59
COLORADO,Nonmetropolitan Counties,Routt,,151
COLORADO,Nonmetropolitan Counties,San Juan,,11
COLORADO,Nonmetropolitan Counties,San Miguel,,18
COLORADO,Nonmetropolitan Counties,Sedgwick,,9
COLORADO,Nonmetropolitan Counties,Washington,,165
COLORADO,State Police,Colorado State Patrol,,"1,110"
COLORADO,Other,All Crimes Enforcement Team,,17
COLORADO,Other,Colorado Mental Health Institute,,201
COLORADO,Other,Delta Montrose Drug Task Force,,46
COLORADO,Other,Southwest Drug Task Force,,11
CONNECTICUT,Cities,Ansonia,"18,751","1,038"
CONNECTICUT,Cities,Avon,"18,379",307
CONNECTICUT,Cities,Berlin,"20,593",633
CONNECTICUT,Cities,Bethel,"19,974",373
CONNECTICUT,Cities,Bloomfield,"21,541","1,174"
CONNECTICUT,Cities,Branford,"28,121","1,061"
CONNECTICUT,Cities,Bristol,"60,184","2,155"
CONNECTICUT,Cities,Brookfield,"17,230",343
CONNECTICUT,Cities,Canton,"10,298",132
CONNECTICUT,Cities,Cheshire,"29,337",443
CONNECTICUT,Cities,Clinton,"12,917",560
CONNECTICUT,Cities,Coventry,"12,438",264
CONNECTICUT,Cities,Cromwell,"13,950",525
CONNECTICUT,Cities,Danbury,"85,818","3,174"
CONNECTICUT,Cities,Darien,"22,050",482
CONNECTICUT,Cities,Derby,"12,535",678
CONNECTICUT,Cities,East Hampton,"12,893",199
CONNECTICUT,Cities,East Hartford,"50,184","3,076"
CONNECTICUT,Cities,East Haven,"28,805","1,525"
CONNECTICUT,Cities,East Lyme,"18,744",302
CONNECTICUT,Cities,Easton,"7,590",60
CONNECTICUT,Cities,East Windsor,"11,425",813
CONNECTICUT,Cities,Fairfield,"62,452","1,569"
CONNECTICUT,Cities,Farmington,"25,602",866
CONNECTICUT,Cities,Glastonbury,"34,593",888
CONNECTICUT,Cities,Granby,"11,367",245
CONNECTICUT,Cities,Greenwich,"63,075",757
CONNECTICUT,Cities,Groton,"9,051",544
CONNECTICUT,Cities,Groton Town,"29,372","1,343"
CONNECTICUT,Cities,Guilford,"22,268",596
CONNECTICUT,Cities,Hamden,"61,234","1,934"
CONNECTICUT,Cities,Ledyard,"14,808",277
CONNECTICUT,Cities,Madison,"18,184",168
CONNECTICUT,Cities,Middlebury,"7,746",111
CONNECTICUT,Cities,Middletown,"46,314","1,747"
CONNECTICUT,Cities,Monroe,"19,653",236
CONNECTICUT,Cities,Naugatuck,"31,400","1,114"
CONNECTICUT,Cities,New Canaan,"20,461",259
CONNECTICUT,Cities,New Haven,"131,181","16,733"
CONNECTICUT,Cities,Newington,"30,382","1,332"
CONNECTICUT,Cities,New London,"26,995","2,044"
CONNECTICUT,Cities,New Milford,"26,956",866
CONNECTICUT,Cities,Newtown,"28,015",227
CONNECTICUT,Cities,North Branford,"14,179",337
CONNECTICUT,Cities,North Haven,"23,703",846
CONNECTICUT,Cities,Norwalk,"89,442","4,131"
CONNECTICUT,Cities,Norwich,"39,318","2,254"
CONNECTICUT,Cities,Old Saybrook,"10,117",222
CONNECTICUT,Cities,Orange,"14,002",767
CONNECTICUT,Cities,Plainfield,"15,049",277
CONNECTICUT,Cities,Plymouth,"11,646",419
CONNECTICUT,Cities,Putnam,"9,325",509
CONNECTICUT,Cities,Redding,"9,242",152
CONNECTICUT,Cities,Ridgefield,"25,260",206
CONNECTICUT,Cities,Rocky Hill,"20,163",522
CONNECTICUT,Cities,Seymour,"16,589",391
CONNECTICUT,Cities,Shelton,"41,657",664
CONNECTICUT,Cities,Simsbury,"25,164",381
CONNECTICUT,Cities,Southington,"43,960","1,778"
CONNECTICUT,Cities,South Windsor,"25,968",648
CONNECTICUT,Cities,Stamford,"132,007","6,154"
CONNECTICUT,Cities,Stonington,"18,602",588
CONNECTICUT,Cities,Stratford,"52,472","2,014"
CONNECTICUT,Cities,Suffield,"15,688",201
CONNECTICUT,Cities,Thomaston,"7,563",222
CONNECTICUT,Cities,Torrington,"34,286","1,727"
CONNECTICUT,Cities,Trumbull,"36,167","1,502"
CONNECTICUT,Cities,Vernon,"29,304",983
CONNECTICUT,Cities,Wallingford,"44,680","1,299"
CONNECTICUT,Cities,Waterbury,"108,378","9,852"
CONNECTICUT,Cities,Waterford,"18,937",599
CONNECTICUT,Cities,Watertown,"21,631",916
CONNECTICUT,Cities,West Hartford,"63,085","2,985"
CONNECTICUT,Cities,West Haven,"54,738","2,639"
CONNECTICUT,Cities,Weston,"10,351",63
CONNECTICUT,Cities,Westport,"28,278",404
CONNECTICUT,Cities,Wethersfield,"26,127",783
CONNECTICUT,Cities,Willimantic,"17,691",630
CONNECTICUT,Cities,Wilton,"18,654",350
CONNECTICUT,Cities,Winchester,"10,669",258
CONNECTICUT,Cities,Windsor,"28,867","1,243"
CONNECTICUT,Cities,Windsor Locks,"12,560",400
CONNECTICUT,Cities,Wolcott,"16,666",388
CONNECTICUT,Cities,Woodbridge,"8,832",240
CONNECTICUT,Universities and Colleges,Central Connecticut State University,"13,930",59
CONNECTICUT,Universities and Colleges,Eastern Connecticut State University,"6,068",30
CONNECTICUT,Universities and Colleges,Southern Connecticut State University,"11,978",46
CONNECTICUT,Universities and Colleges,"University of Connecticut, Storrs, Avery Point, and Hartford3",,308
CONNECTICUT,Universities and Colleges,Western Connecticut State University,"6,853",79
CONNECTICUT,State Police,Connecticut State Police,,"7,429"
CONNECTICUT,Tribal,Mashantucket Pequot Tribal,,579
CONNECTICUT,Tribal,Mohegan Tribal,,375
CONNECTICUT,Other,Department of Motor Vehicles,,4
CONNECTICUT,Other,State Capitol Police,,4
DELAWARE,Cities,Bethany Beach,"1,224",162
DELAWARE,Cities,Blades,"1,444",55
DELAWARE,Cities,Bridgeville,"2,368",176
DELAWARE,Cities,Camden,"3,497",324
DELAWARE,Cities,Cheswold,"1,596",96
DELAWARE,Cities,Clayton,"3,297",204
DELAWARE,Cities,Dagsboro,902,95
